domain,url_length,url_shortserv,url_@_present,url_spec_char_count,sec_words_present,digit_count,http_count,url_dot_count,dom_hyphen_count,ip_present,url_dom_prefix,url_subdom_count,url_redirect,url_exe_present,dom_age,dom_reg,dns_record,web_traffic,page_ranking,google_index,label
aprendaeletricidade.blogspot.com,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
l3ancolombla.com33-login.xyz,1,0,0,8,1,3,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
findicons.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
nocontent-puwrkykl.velocityhub.com,1,0,0,6,0,16,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
thietbihantbt.com,1,1,0,10,0,36,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
google.com,1,0,0,32,1,7,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
royalpass16.net,0,0,0,5,1,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
lihi1.cc,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
ebay.portlibertecontractor.com,1,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
lloydsbank.online-auth-secure-verified.com,0,0,0,4,2,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
amazojp.amaytg.xyz,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
upblisher.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
otomoto3452.com,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
payment.waytomyanmar.com,1,0,0,11,0,27,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,0,5,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1
rakuten.account.wy6fv6g.icu,0,0,0,4,1,2,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
emploi-petrole.com,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
kutt.it,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
soul-flower.com,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
vieuxshack.com,1,0,0,7,1,20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
nhlbi.nih.gov,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
facebook.com,1,0,0,9,0,15,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
umbrellacorp.id,0,0,0,7,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
firstideasltd.com,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
dwsmqrunescape.com-oo.ru,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
citeseerx.ist.psu.edu,1,0,0,11,0,12,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
vieuxshack.com,0,0,0,7,0,25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
hackedonlinegames.com,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
docs.google.com,1,0,0,12,0,11,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
en.academic.ru,0,0,0,6,0,6,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
mp3sayt.az,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
cabinetekobo.cm,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
malhipur.in,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
confirm-mynew-payees.com,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
achernishev.ru,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
mummyandmini.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
learnnext.com,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
twitter.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
voyaretirementplans.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cargodeals.in,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
vieuxshack.com,1,0,0,7,1,25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
paulmitchellforcongress.com,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
dictionary.babylon-software.com,0,0,0,5,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0
lifehacker.com,1,0,0,5,0,7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
whatis.techtarget.com,0,1,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
vieuxshack.com,1,0,0,16,2,75,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
docs.oracle.com,0,0,0,7,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
poolcenter.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
keshilla.net,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
marketing91.com,0,0,0,5,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
payee-restricted.com,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
baynhe.vn,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
heylink.me,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
69.176.89.197,1,0,1,60,2,40,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
merriam-webster.com,0,0,0,5,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
promenade.co.za,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
mysomedayinmay.com,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
yourdictionary.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
chords.club,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
al-kutob.com,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
alamdi.net,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
spk-hauptfiliale.de,0,0,0,4,0,17,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
djservicepack.com,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
halsteadbead.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
dpdk.org,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
yourdictionary.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ascot-lnt.com,0,1,0,6,0,5,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
sharecare.com,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
agendatebancofalabella.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
ee-id-login.net,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
dofactory.com,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
biolinky.co,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
contextures.com,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
memopanel.nl,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
pathayescon.cl,1,0,0,19,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
domainexchanceactivacion1bn.com,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
publishroom.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
unauthorised-request.com,0,1,0,5,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
tronchy.fr,1,0,0,9,0,41,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
smartinsights.com,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
revolution-19976485312853161.tk,0,0,0,6,0,17,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
en.m.wikipedia.org,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
savers.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
lloydsbank.secure-personal-device-login.com,0,0,0,4,3,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
cs.columbia.edu,0,0,0,10,0,4,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
endicia.com,1,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
highspeedinternet.com,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ivg.it,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
shipmentstrackings.com,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
unitus.mk.ua,1,0,0,15,1,5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
ee-uk-billingupdate.com,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
etransfer.interac.com.switchtel.net,0,0,0,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
lloydsbank.unpair-unauthorised-devices.com,0,0,0,4,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
adminweb2020-mailaccess.moonfruit.com,0,1,0,4,2,4,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
bancodecomercio.elegroup.com.pe,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
savboxvocalormail.wixsite.com,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
secure-myaccountdetails.com,0,0,0,5,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
freematerialmetroroyale.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
pcmag.com,0,0,0,7,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
shelfawareness.org,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
unitus.mk.ua,1,0,0,15,1,5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
vapwood.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ustasb.com,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
elegantthemes.com,1,0,0,6,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
verify-addedpayee.com,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
lotto-sport.com.ua,0,1,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
xj3pr.mjt.lu,1,0,0,9,0,16,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
homeandlearn.co.uk,0,0,0,5,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
searchwindevelopment.techtarget.com,0,1,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
frenadol.es,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
secure-deviceslink.co.uk,0,0,0,4,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
xavrykf.cluster030.hosting.ovh.net,1,0,0,13,1,33,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
levinhoreal.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
confirmyour-new-payee.com,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
bangla.plus,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
skm-eleksys.com,0,0,0,6,1,6,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
045b66e.wcomhost.com,1,1,0,8,2,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
dev.klinikmatanusantara.com,0,0,0,8,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
wickman.net.au,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
ee-confirm-billingupdate.com,0,0,0,4,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
berwirausaha.net,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
thesession.org,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
nocontent-vnqlnxry.velocityhub.com,1,0,0,6,0,22,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
test.vrntrikotazh.ru,1,0,0,30,3,14,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1
lhhco-my.sharepoint.com,1,1,0,25,3,69,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1
wiki.guildwars2.com,0,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
powerful-spark-age.glitch.me,0,0,1,4,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1
securemy-logindetails.com,0,0,0,4,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
rekuraten.yatenku.top,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
186.2.161.231,0,0,0,5,0,10,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1
216.118.233.138,1,0,1,51,2,42,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
facelogbook.xyz,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
brasiltudoliberado.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
online-bill-ee.com,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
twitter.com,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
pathofexile.gamepedia.com,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
arslanlogistics.com,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
vieuxshack.com,0,0,0,6,0,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
en.wikipedia.org,0,0,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
drcarmenmora.com,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
buzzard.ups.edu,1,0,0,7,0,14,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0
2309832esery4556.wixsite.com,0,0,0,4,0,11,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
littlefoots.ru:443,0,0,0,5,0,21,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
pendingdevices.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
web.mit.edu,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
lordmantis.com,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
instagram.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
firebasestorage.googleapis.com,1,1,1,13,1,99,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
sciencebuddies.org,1,0,0,8,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
haiifaxapp.co.uk,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
f29b6.csb.app,0,0,0,4,0,3,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
deregisternewpayee.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
myo2-billing-error28.com,0,0,0,4,0,3,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
yarekutenda.ratekute.top,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
stil-proiect.ro,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
bdhyuklshdd.web.app,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
norecipes.com,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
slate.com,1,0,0,17,1,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
lloydbanking-unpairdevice.com,0,0,0,4,2,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
account-update-services.jmyhtncf3rl1nlfa2gjpga.xyz,1,0,1,7,4,3,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
gonzalofaccastonelli.com,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
tools.ietf.org,0,0,0,5,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
ftp.blackbox.com,0,1,0,6,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
lloyds-banking-alerts.com,0,0,0,4,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
hmrcbillinginfo.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
newpayeecancellation.net,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
encrypted-tbn0.gstatic.com,1,0,0,10,0,10,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
fdsdfsakjsdbtinternetverify.yolasite.com,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1
electricaltechnology.org,1,0,0,6,1,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
authenticate-new-device.com,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
lloydsbank.secure-device-protect.net,0,0,0,4,2,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
infocenter.udonpao.go.th,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
achernishev.ru,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
macrumors.com,0,0,0,8,0,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
easycounter.com,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ralutaken.rottenta.top,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
iconoclast.tv,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
iconfinder.com,1,0,0,19,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
freebsdmall.com,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
instructables.com,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
angebote-d15b5db6a5f2.com,0,0,0,4,0,6,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
en.wikipedia.org,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
dictionary.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
businessdictionary.com,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
serio64.tumblr.com,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
mahoraisedeseaux.com,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
au.whogivesacrap.org,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
confirm-new-payment.com,0,1,0,4,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
dstype.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
faculty.washington.edu,1,0,0,7,1,6,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
dictionary.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
en.wiktionary.org,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
housing.blogfa.com,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
app-acesso.com,0,0,0,6,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
wikihow.com,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
cran.r-project.org,0,0,0,8,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
rakuteon.co.jp.uutjeatw.cc,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
engineering.wikia.com,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
bvconline.com.ar,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
valleysupreme.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
lascana.hu,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
thebreadshebakes.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
prontofrioecuador.com,1,0,0,18,3,72,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
en.wikiquote.org,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
ipro289.com,1,0,0,14,0,52,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
bithubber.com,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
lastingredient.com,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
academiatecnas.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
instavideos.it,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
michaelannedye.files.wordpress.com,1,0,0,6,1,10,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
happygifting.net,1,0,0,19,2,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
w3schools.com,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
eguate.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
miapple.me,1,0,0,5,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
lindastavern.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
berrystock.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
seriouseats.com,1,0,0,7,0,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
mnuvaux.wixsite.com,0,0,0,4,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
blackbean.coffee,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
st6.ning.com,0,0,0,10,0,13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
agsitesreis.com.br,1,0,0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
newworldencyclopedia.org,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
caixas.sg-host.com,0,1,0,5,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
dipyoutube.com,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
itrelease.com,0,0,0,7,0,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
spk-hauptfiliale.de,0,0,0,4,0,17,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
en.wikipedia.org,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
adpunemploymentclaims.sharefile.com,1,0,0,6,0,21,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
ranker.com,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
turkaramamotoru.com,1,0,0,5,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
brooklyncitycollege.co.za,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
swingingheaven.za.com,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
haseebsafitravels.com,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
eehelpcenter.live,1,0,0,9,1,18,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
ru.y8.com,0,0,0,7,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
pages-secur-privacy.ga,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
seattle.gov,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
torringtonsavings.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
dhlvideo.id,0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
biddle-air.co.uk,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0
visa.co.il,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
revulution-admin-199132168715348651.tk,0,0,0,6,0,18,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
ptlq.de,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
track.simstricksclicks.com,1,0,0,25,2,55,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1
